Wavelength (nm),Normailze Light Intensity (a.u.)
712,0.0185543
713,0.0181479
714,0.0117448
715,0.00478177
716,0.000858849
717,0.00349953
718,0.00568017
719,0.00333317
720,0.000220564
721,0
722,0.00255007
723,0.00963156
724,0.0150101
725,0.0168316
726,0.015316
727,0.0124618
728,0.0111869
729,0.0133039
730,0.0173217
731,0.0210289
732,0.0231341
733,0.0213562
734,0.0154087
735,0.0118988
736,0.0139189
737,0.0180582
738,0.0220162
739,0.0237678
740,0.0232518
741,0.0219435
742,0.0247426
743,0.0280363
744,0.0248899
745,0.017781
746,0.0104794
747,0.0136418
748,0.022811
749,0.0234413
750,0.0225477
751,0.0254844
752,0.0227442
753,0.0172018
754,0.0181363
755,0.0215823
756,0.0229534
757,0.0257495
758,0.0276644
759,0.0229983
760,0.0177142
761,0.0177982
762,0.0221521
763,0.0279213
764,0.0293852
765,0.0287952
766,0.0300429
767,0.0267426
768,0.0195592
769,0.0166009
770,0.0148719
771,0.0105275
772,0.00841231
773,0.0103985
774,0.0167644
775,0.022396
776,0.0221976
777,0.0226417
778,0.0262237
779,0.0315537
780,0.0350373
781,0.0327099
782,0.0345749
783,0.040656
784,0.0377271
785,0.0296761
786,0.0237213
787,0.0212829
788,0.0217563
789,0.016912
790,0.0148216
791,0.0254936
792,0.0313288
793,0.0299009
794,0.0415022
795,0.0509114
796,0.0415601
797,0.0422018
798,0.0569219
799,0.0646577
800,0.0661913
801,0.0655324
802,0.0712057
803,0.0818417
804,0.0795494
805,0.0788267
806,0.0939734
807,0.0934724
808,0.0808805
809,0.0894525
810,0.0975135
811,0.0861663
812,0.0771253
813,0.075327
814,0.0777491
815,0.0833978
816,0.0895738
817,0.0979573
818,0.107539
819,0.114396
820,0.12755
821,0.149569
822,0.160169
823,0.163579
824,0.175779
825,0.181652
826,0.177109
827,0.17917
828,0.18878
829,0.200731
830,0.213042
831,0.222648
832,0.22354
833,0.227149
834,0.24446
835,0.259136
836,0.265577
837,0.267758
838,0.274521
839,0.290805
840,0.303353
841,0.308015
842,0.306006
843,0.309421
844,0.322625
845,0.335309
846,0.33829
847,0.322342
848,0.321307
849,0.346479
850,0.356657
851,0.361
852,0.378687
853,0.398982
854,0.417663
855,0.432059
856,0.443697
857,0.456255
858,0.464038
859,0.472677
860,0.491657
861,0.514738
862,0.535292
863,0.530131
864,0.522606
865,0.552675
866,0.569828
867,0.563957
868,0.589758
869,0.621455
870,0.628313
871,0.652008
872,0.685905
873,0.689417
874,0.693925
875,0.715558
876,0.718774
877,0.717519
878,0.74064
879,0.768274
880,0.78847
881,0.802635
882,0.810928
883,0.819806
884,0.826079
885,0.83761
886,0.872435
887,0.889719
888,0.870836
889,0.854267
890,0.848833
891,0.85249
892,0.866271
893,0.878253
894,0.872512
895,0.873636
896,0.898954
897,0.934543
898,0.959517
899,0.952451
900,0.950267
901,0.96467
902,0.97105
903,0.968098
904,0.962221
905,0.963158
906,0.974816
907,1
908,0.997779
909,0.967597
910,0.975528
911,0.994669
912,0.987545
913,0.971469
914,0.949232
915,0.919835
916,0.899421
917,0.894613
918,0.901771
919,0.91016
920,0.909963
921,0.914514
922,0.924042
923,0.934773
924,0.934796
925,0.919925
926,0.896616
927,0.886891
928,0.904408
929,0.900542
930,0.89068
931,0.923351
932,0.931359
933,0.900452
934,0.892805
935,0.880167
936,0.843042
937,0.834684
938,0.836218
939,0.811273
940,0.792781
941,0.787108
942,0.780716
943,0.769219
944,0.752396
945,0.735783
946,0.738019
947,0.767932
948,0.780415
949,0.775526
950,0.785637
